ID;contribution_months
1;232
2;212
3;212
4;210
5;207
6;197
7;197
8;194
9;192
10;192
11;189
12;186
13;183
14;182
15;180
16;180
17;179
18;176
19;163
20;163
21;162
22;160
23;159
24;158
25;157
26;153
27;152
28;152
29;151
30;150
31;150
32;149
33;148
34;148
35;147
36;144
37;143
38;141
39;141
40;140
41;139
42;138
43;138
44;136
45;135
46;135
47;132
48;128
49;125
50;124
51;123
52;122
53;120
54;119
55;119
56;119
57;117
58;117
59;116
60;114
61;113
62;113
63;112
64;110
65;110
66;107
67;107
68;107
69;106
70;104
71;104
72;103
73;103
74;102
75;102
76;101
77;100
78;100
79;100
80;100
81;99
82;98
83;97
84;97
85;97
86;96
87;95
88;95
89;94
90;94
91;94
92;94
93;94
94;93
95;92
96;92
97;92
98;92
99;92
100;92
101;91
102;90
103;90
104;89
105;89
106;89
107;89
108;88
109;88
110;88
111;87
112;86
113;85
114;85
115;85
116;85
117;83
118;83
119;83
120;82
121;82
122;82
123;81
124;81
125;81
126;80
127;79
128;79
129;78
130;78
131;78
132;77
133;77
134;76
135;75
136;75
137;74
138;74
139;74
140;74
141;72
142;72
143;72
144;72
145;72
146;71
147;71
148;70
149;70
150;70
151;69
152;69
153;68
154;68
155;68
156;68
157;67
158;67
159;66
160;66
161;66
162;65
163;65
164;65
165;64
166;64
167;64
168;64
169;64
170;63
171;63
172;63
173;63
174;62
175;62
176;62
177;62
178;62
179;62
180;61
181;61
182;61
183;60
184;60
185;59
186;59
187;59
188;58
189;58
190;58
191;58
192;58
193;57
194;57
195;57
196;57
197;57
198;56
199;56
200;55
201;55
202;55
203;55
204;54
205;54
206;54
207;54
208;54
209;53
210;53
211;53
212;53
213;53
214;53
215;53
216;53
217;53
218;53
219;52
220;52
221;52
222;52
223;52
224;51
225;51
226;51
227;51
228;51
229;51
230;51
231;50
232;50
233;50
234;50
235;50
236;50
237;50
238;50
239;50
240;50
241;50
242;49
243;49
244;49
245;49
246;49
247;49
248;49
249;48
250;48
251;47
252;47
253;47
254;47
255;47
256;46
257;46
258;46
259;46
260;46
261;46
262;46
263;45
264;44
265;44
266;44
267;44
268;44
269;44
270;44
271;44
272;44
273;44
274;44
275;44
276;43
277;43
278;43
279;43
280;43
281;43
282;43
283;43
284;43
285;42
286;42
287;42
288;42
289;42
290;42
291;41
292;41
293;41
294;41
295;41
296;41
297;40
298;40
299;40
300;40
301;40
302;40
303;39
304;39
305;39
306;39
307;38
308;38
309;38
310;38
311;38
312;38
313;38
314;38
315;38
316;38
317;38
318;38
319;38
320;37
321;37
322;37
323;37
324;37
325;37
326;37
327;37
328;37
329;36
330;36
331;36
332;36
333;36
334;36
335;36
336;35
337;35
338;35
339;35
340;35
341;35
342;35
343;35
344;35
345;35
346;34
347;34
348;34
349;34
350;34
351;34
352;34
353;34
354;33
355;33
356;33
357;33
358;33
359;33
360;33
361;32
362;32
363;32
364;32
365;32
366;32
367;32
368;32
369;31
370;31
371;31
372;31
373;31
374;31
375;31
376;31
377;30
378;30
379;30
380;30
381;30
382;30
383;30
384;30
385;30
386;30
387;30
388;30
389;29
390;29
391;29
392;29
393;29
394;29
395;29
396;29
397;28
398;28
399;28
400;28
401;28
402;28
403;28
404;28
405;28
406;28
407;28
408;28
409;27
410;27
411;27
412;27
413;27
414;27
415;27
416;27
417;27
418;27
419;26
420;26
421;26
422;26
423;26
424;26
425;26
426;26
427;26
428;26
429;26
430;26
431;25
432;25
433;25
434;25
435;25
436;25
437;25
438;25
439;25
440;25
441;24
442;24
443;24
444;24
445;24
446;24
447;24
448;24
449;24
450;24
451;24
452;24
453;24
454;24
455;24
456;23
457;23
458;23
459;23
460;23
461;23
462;23
463;23
464;23
465;23
466;23
467;23
468;23
469;22
470;22
471;22
472;22
473;22
474;22
475;22
476;22
477;22
478;22
479;22
480;22
481;22
482;22
483;22
484;22
485;22
486;22
487;22
488;21
489;21
490;21
491;21
492;21
493;21
494;21
495;21
496;21
497;21
498;21
499;21
500;21
501;21
502;21
503;20
504;20
505;20
506;20
507;20
508;20
509;20
510;20
511;19
512;19
513;19
514;19
515;19
516;19
517;19
518;19
519;19
520;19
521;19
522;19
523;19
524;19
525;19
526;19
527;18
528;18
529;18
530;18
531;18
532;18
533;18
534;18
535;18
536;18
537;18
538;18
539;18
540;18
541;18
542;18
543;18
544;18
545;18
546;18
547;18
548;18
549;17
550;17
551;17
552;17
553;17
554;17
555;17
556;17
557;17
558;17
559;17
560;17
561;17
562;17
563;17
564;17
565;17
566;17
567;17
568;17
569;17
570;17
571;17
572;17
573;17
574;17
575;17
576;16
577;16
578;16
579;16
580;16
581;16
582;16
583;16
584;16
585;16
586;16
587;16
588;16
589;16
590;16
591;16
592;16
593;16
594;16
595;16
596;16
597;15
598;15
599;15
600;15
601;15
602;15
603;15
604;15
605;15
606;15
607;15
608;15
609;15
610;15
611;14
612;14
613;14
614;14
615;14
616;14
617;14
618;14
619;14
620;14
621;14
622;14
623;14
624;14
625;14
626;14
627;14
628;14
629;14
630;14
631;13
632;13
633;13
634;13
635;13
636;13
637;13
638;13
639;13
640;13
641;13
642;13
643;13
644;13
645;13
646;13
647;13
648;13
649;13
650;13
651;12
652;12
653;12
654;12
655;12
656;12
657;12
658;12
659;12
660;12
661;12
662;12
663;12
664;12
665;12
666;12
667;12
668;12
669;12
670;12
671;12
672;12
673;12
674;12
675;12
676;12
677;12
678;12
679;12
680;12
681;11
682;11
683;11
684;11
685;11
686;11
687;11
688;11
689;11
690;11
691;11
692;11
693;11
694;11
695;11
696;11
697;11
698;11
699;11
700;11
701;11
702;11
703;11
704;11
705;11
706;11
707;11
708;11
709;11
710;11
711;10
712;10
713;10
714;10
715;10
716;10
717;10
718;10
719;10
720;10
721;10
722;10
723;10
724;10
725;10
726;10
