path;year;n_neg_messages;n_pos_messages;n_negs;no_pos;n_commits
acct-group;2019;70;25;79;25;83
acct-group;2020;104;60;114;61;162
acct-group;2021;64;38;74;39;104
acct-group;2022;22;21;26;21;50
acct-group;2023;2;1;2;1;10
acct-user;2019;63;25;70;25;84
acct-user;2020;105;58;115;59;159
acct-user;2021;67;39;77;39;114
acct-user;2022;25;22;29;22;58
acct-user;2023;2;1;2;1;12
app-accessibility;2004;367;277;388;282;198
app-accessibility;2005;384;281;408;285;145
app-accessibility;2006;381;284;405;293;142
app-accessibility;2007;315;267;326;278;171
app-accessibility;2008;187;147;203;152;162
app-accessibility;2009;206;161;215;167;163
app-accessibility;2010;113;92;118;92;104
app-accessibility;2011;107;89;116;89;94
app-accessibility;2012;120;91;131;92;70
app-accessibility;2013;195;155;207;157;113
app-accessibility;2014;134;71;151;71;105
app-accessibility;2015;130;75;142;75;86
app-accessibility;2016;54;30;56;32;40
app-accessibility;2017;70;46;79;47;57
app-accessibility;2018;21;23;25;23;47
app-accessibility;2019;34;22;44;22;54
app-accessibility;2020;49;47;52;47;87
app-accessibility;2021;64;38;74;38;127
app-accessibility;2022;63;33;74;33;141
app-accessibility;2023;3;1;3;1;15
app-admin;2001;189;202;197;218;98
app-admin;2002;521;692;536;717;344
app-admin;2003;724;718;755;738;562
app-admin;2004;840;645;889;665;723
app-admin;2005;871;688;914;707;702
app-admin;2006;1056;746;1138;774;757
app-admin;2007;801;591;850;609;707
app-admin;2008;465;358;489;361;656
app-admin;2009;483;372;510;390;656
app-admin;2010;379;309;395;311;609
app-admin;2011;407;309;438;312;619
app-admin;2012;799;584;875;595;780
app-admin;2013;632;469;665;474;682
app-admin;2014;500;326;581;330;625
app-admin;2015;462;300;504;306;630
app-admin;2016;510;347;557;371;659
app-admin;2017;476;320;515;328;717
app-admin;2018;255;141;282;144;715
app-admin;2019;214;116;245;116;660
app-admin;2020;254;183;277;185;701
app-admin;2021;209;135;249;137;837
app-admin;2022;165;113;186;113;849
app-admin;2023;15;10;17;11;212
